ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2340652,2325881,14733,38
3,Arunachal Pradesh,66971,66632,296,43
4,Assam,746137,738084,8035,18
5,Bihar,854853,842301,12313,239
6,Chandigarh,100649,99417,1185,47
7,Chhattisgarh,1187214,1172546,14185,483
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2040390,2013340,26651,399
10,Goa,262832,258588,4014,230
11,Gujarat,1291135,1279834,11077,224
12,Haryana,1078632,1067462,10750,420
13,Himachal Pradesh,322326,317780,4238,308
14,Jammu and Kashmir,481866,476958,4792,116
15,Jharkhand,443793,438410,5334,49
16,Karnataka,4087679,4046970,40353,356
17,Kerala,6902879,6826393,71893,4593
18,Ladakh,29575,29342,231,2
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056324,1045512,10786,26
21,Maharashtra,8168217,8018643,148542,1032
22,Manipur,139973,137806,2149,18
23,Meghalaya,96905,95262,1626,17
24,Mizoram,239257,238442,730,85
25,Nagaland,36015,35223,782,10
26,Odisha,1347427,1335069,9215,3143
27,Puducherry,177436,175403,1981,52
28,Punjab,792048,772372,19332,344
29,Rajasthan,1326103,1315821,9728,554
30,Sikkim,44744,44198,500,46
31,Tamil Nadu,3610238,3571580,38075,583
32,Telangana,844003,839725,4111,167
33,Tripura,108166,107177,940,49
34,Uttarakhand,452394,444565,7765,64
35,Uttar Pradesh,2144682,2120355,23695,632
36,West Bengal,2124114,2100458,21545,2111
