ID,state,total_cases,discharged,deaths
1,Andaman and Nicobar Islands,22,11,0
2,Andhra Pradesh,955,145,29
3,Arunachal Pradesh,1,1,0
4,Assam,36,19,1
5,Bihar,176,46,2
6,Chandigarh,27,14,0
7,Chhattisgarh,36,28,0
8,Delhi,2376,808,50
9,Goa,7,7,0
10,Gujarat,2624,258,112
11,Haryana,272,156,3
12,Himachal Pradesh,40,18,1
13,Jammu and Kashmir,427,92,5
14,Jharkhand,55,8,3
15,Karnataka,463,150,18
16,Kerala,448,324,3
17,Ladakh,18,14,0
18,Madhya Pradesh,1852,203,83
19,Maharashtra,6430,840,283
20,Manipur,2,2,0
21,Meghalaya,12,0,1
22,Mizoram,1,0,0
23,Odisha,90,33,1
24,Puducherry,7,3,0
25,Punjab,277,65,16
26,Rajasthan,1964,230,27
27,Tamil Nadu,1683,752,20
28,Telengana,984,253,26
29,Tripura,2,1,0
30,Uttarakhand,47,24,0
31,Uttar Pradesh,1604,206,24
32,West Bengal,514,103,15
