ID,state,total_cases,discharged,deaths
1,Andhra Pradesh,381,11,6
2,Andaman and Nicobar Islands,11,10,0
3,Arunachal Pradesh,1,0,0
4,Assam,29,0,1
5,Bihar,63,0,1
6,Chandigarh,19,7,0
7,Chhattisgarh,18,9,0
8,Delhi,1069,25,19
9,Goa,7,5,0
10,Gujarat,432,44,22
11,Haryana,177,29,3
12,Himachal Pradesh,32,6,1
13,Jammu and Kashmir,207,6,4
14,Jharkhand,17,0,1
15,Karnataka,214,37,6
16,Kerala,364,123,2
17,Ladakh,15,10,0
18,Madhya Pradesh,532,0,36
19,Maharashtra,1761,208,127
20,Manipur,2,1,0
21,Mizoram,1,0,0
22,Odisha,50,2,1
23,Puducherry,7,1,0
24,Punjab,151,5,11
25,Rajasthan,700,21,3
26,Tamil Nadu,969,44,10
27,Telengana,504,43,9
28,Tripura,2,0,0
29,Uttarakhand,35,5,0
30,Uttar Pradesh,452,45,5
31,West Bengal,134,19,5
