ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10008,9850,129,29
2,Andhra Pradesh,2316467,2295768,14714,5985
3,Arunachal Pradesh,64313,63750,296,267
4,Assam,723977,715511,6633,1833
5,Bihar,829713,816898,12255,560
6,Chandigarh,91585,90207,1162,216
7,Chhattisgarh,1149666,1132757,14022,2887
8,Dadra and Nagar Haveli and Daman and Diu,11437,11428,4,5
9,Delhi,1856517,1828131,26105,2281
10,Goa,244762,240391,3792,579
11,Gujarat,1220909,1205543,10902,4464
12,Haryana,978884,965220,10531,3133
13,Himachal Pradesh,282267,276540,4097,1630
14,Jammu and Kashmir,452410,445971,4747,1692
15,Jharkhand,434048,428089,5315,644
16,Karnataka,3937265,3886052,39816,11397
17,Kerala,6473059,6349057,64273,59729
18,Ladakh,27867,27318,228,321
19,Lakshadweep,11384,11300,52,32
20,Madhya Pradesh,1035287,1017673,10717,6897
21,Maharashtra,7859237,7697135,143586,18516
22,Manipur,136506,133756,2101,649
23,Meghalaya,93304,91390,1571,343
24,Mizoram,207994,197720,646,9628
25,Nagaland,35363,34380,753,230
26,Odisha,1282869,1269253,9026,4590
27,Puducherry,165619,163296,1960,363
28,Punjab,757358,738360,17682,1316
29,Rajasthan,1275373,1257259,9527,8587
30,Sikkim,39030,38470,441,119
31,Tamil Nadu,3445717,3393703,37981,14033
32,Telangana,787063,778167,4109,4787
33,Tripura,100848,99871,919,58
34,Uttarakhand,435323,425183,7674,2466
35,Uttar Pradesh,2064947,2035146,23435,6366
36,West Bengal,2013553,1987967,21143,4443
