ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2340676,2325943,14733,0
3,Arunachal Pradesh,67049,66753,296,0
4,Assam,746159,738119,8035,5
5,Bihar,855266,842951,12314,1
6,Chandigarh,100693,99508,1185,0
7,Chhattisgarh,1187695,1173504,14190,1
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2040884,2014215,26666,3
10,Goa,263343,259325,4014,4
11,Gujarat,1291378,1280294,11079,5
12,Haryana,1078872,1068114,10755,3
13,Himachal Pradesh,322901,318653,4241,7
14,Jammu and Kashmir,482023,477231,4792,0
15,Jharkhand,443826,438491,5334,1
16,Karnataka,4088757,4048386,40358,13
17,Kerala,6907220,6835153,72042,25
18,Ladakh,29602,29371,231,0
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056351,1045565,10786,0
21,Maharashtra,8170805,8022044,148557,204
22,Manipur,140034,137885,2149,0
23,Meghalaya,96981,95348,1628,5
24,Mizoram,239559,238825,734,0
25,Nagaland,36033,35251,782,0
26,Odisha,1348350,1339130,9215,5
27,Puducherry,177547,175565,1981,1
28,Punjab,792414,773073,19338,3
29,Rajasthan,1326463,1316727,9736,0
30,Sikkim,44920,44418,500,2
31,Tamil Nadu,3610650,3572563,38081,6
32,Telangana,844423,840306,4111,6
33,Tripura,108492,107547,942,3
34,Uttarakhand,452562,444794,7768,0
35,Uttar Pradesh,2145421,2121656,23710,55
36,West Bengal,2126204,2104497,21555,152
