ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7564,7430,129,5
2,Andhra Pradesh,2012123,1983119,13825,15179
3,Arunachal Pradesh,52870,51644,260,966
4,Assam,588318,575629,5640,7049
5,Bihar,725694,715928,9653,113
6,Chandigarh,65093,64242,813,38
7,Chhattisgarh,1004398,990363,13555,480
8,Dadra and Nagar Haveli and Daman and Diu,10663,10653,4,6
9,Delhi,1437716,1412244,25080,392
10,Goa,173791,169651,3195,945
11,Gujarat,825398,815166,10081,151
12,Haryana,770456,760136,9674,646
13,Himachal Pradesh,213245,207903,3592,1750
14,Jammu and Kashmir,325148,319465,4407,1276
15,Jharkhand,347842,342566,5132,144
16,Karnataka,2947255,2891193,37278,18784
17,Kerala,4007408,3773754,20541,213113
18,Ladakh,20551,20273,207,71
19,Lakshadweep,10338,10257,51,30
20,Madhya Pradesh,792155,781559,10516,80
21,Maharashtra,6456939,6263416,137157,56366
22,Manipur,113328,108161,1779,3388
23,Meghalaya,75601,71659,1306,2636
24,Mizoram,57962,49239,213,8510
25,Nagaland,29972,28549,617,806
26,Odisha,1006503,991630,7834,7039
27,Puducherry,123394,120890,1812,692
28,Punjab,600551,583790,16369,392
29,Rajasthan,954086,945009,8954,123
30,Sikkim,29809,28218,369,1222
31,Tamil Nadu,2611837,2559637,34878,17322
32,Telangana,657376,647594,3870,5912
33,Tripura,82849,81023,798,1028
34,Uttarakhand,342910,335195,7380,335
35,Uttar Pradesh,1709248,1686165,22818,265
36,West Bengal,1547548,1520055,18423,9070
