ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,4108,3868,56,184
2,Andhra Pradesh,783132,740229,6429,36474
3,Arunachal Pradesh,13406,10552,30,2824
4,Assam,200709,171683,868,28158
5,Bihar,204363,192783,996,10584
6,Chandigarh,13646,12554,208,884
7,Chhattisgarh,160396,132168,1478,26750
8,Dadra and Nagar Haveli and Daman and Diu,3183,3127,2,54
9,Delhi,331017,301716,6009,23292
10,Goa,40587,36395,544,3648
11,Gujarat,159564,141515,3635,14414
12,Haryana,150033,138351,1640,10042
13,Himachal Pradesh,18967,16069,268,2630
14,Jammu and Kashmir,87942,77886,1379,8677
15,Jharkhand,96352,89011,839,6502
16,Karnataka,765586,645825,10478,109283
17,Kerala,341859,245399,1161,95299
18,Ladakh,5598,4615,66,917
19,Lakshadweep,0,0,0,0
20,Madhya Pradesh,160188,144134,2773,13281
21,Maharashtra,1595381,1369810,42115,183456
22,Manipur,15463,11741,116,3606
23,Meghalaya,8508,6282,75,2151
24,Mizoram,2253,2148,0,105
25,Nagaland,7816,6206,27,1583
26,Odisha,268364,246837,1135,20392
27,Puducherry,33141,28290,574,4277
28,Punjab,127630,117883,4012,5735
29,Rajasthan,173266,150379,1748,21139
30,Sikkim,3597,3265,60,272
31,Tamil Nadu,687400,637637,10642,39121
32,Telangana,223059,200686,1275,21098
33,Tripura,29553,26550,331,2672
34,Uttarakhand,58024,51369,927,5728
35,Uttar Pradesh,455146,415592,6658,32896
36,West Bengal,321036,281053,6056,33927
