ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2340853,2325990,14733,130
3,Arunachal Pradesh,67049,66753,296,0
4,Assam,746172,738136,8035,1
5,Bihar,855290,842958,12315,17
6,Chandigarh,100702,99517,1185,0
7,Chhattisgarh,1187820,1173522,14191,107
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2041223,2014502,26670,51
10,Goa,263511,259434,4014,63
11,Gujarat,1291623,1280464,11081,78
12,Haryana,1079000,1068214,10780,6
13,Himachal Pradesh,322950,318702,4246,2
14,Jammu and Kashmir,482050,477251,4792,7
15,Jharkhand,443853,438515,5337,1
16,Karnataka,4090951,4049433,40374,1144
17,Kerala,6916091,6842435,72075,1581
18,Ladakh,29614,29372,231,11
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056595,1045788,10786,21
21,Maharashtra,8173011,8023645,148567,799
22,Manipur,140036,137886,2149,1
23,Meghalaya,96990,95362,1628,0
24,Mizoram,239562,238828,734,0
25,Nagaland,36033,35251,782,0
26,Odisha,1348424,1339182,9215,27
27,Puducherry,177630,175634,1982,14
28,Punjab,793693,773117,20571,5
29,Rajasthan,1326539,1316766,9737,36
30,Sikkim,44932,44431,501,0
31,Tamil Nadu,3611229,3572957,38085,187
32,Telangana,844614,840455,4111,48
33,Tripura,108495,107553,942,0
34,Uttarakhand,452590,444820,7768,2
35,Uttar Pradesh,2145549,2121812,23717,20
36,West Bengal,2126636,2104999,21556,81
