ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10741,10612,129,0
2,Andhra Pradesh,2339043,2324294,14733,16
3,Arunachal Pradesh,66885,66589,296,0
4,Assam,746099,738064,8035,0
5,Bihar,851323,839001,12302,20
6,Chandigarh,99329,98142,1181,6
7,Chhattisgarh,1177715,1163532,14145,38
8,Dadra and Nagar Haveli and Daman and Diu,11591,11586,4,1
9,Delhi,2006883,1980240,26516,127
10,Goa,258977,254914,4013,50
11,Gujarat,1277364,1266063,11042,259
12,Haryana,1056469,1045678,10713,78
13,Himachal Pradesh,312541,308301,4211,29
14,Jammu and Kashmir,479337,474532,4785,20
15,Jharkhand,442558,437215,5331,12
16,Karnataka,4070789,4028933,40302,1554
17,Kerala,6825270,6751899,71472,1899
18,Ladakh,29400,29165,231,4
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1054889,1044091,10776,22
21,Maharashtra,8135213,7985998,148404,811
22,Manipur,139909,137751,2149,9
23,Meghalaya,96775,95147,1624,4
24,Mizoram,238939,238191,726,22
25,Nagaland,35986,35204,782,0
26,Odisha,1336387,1327054,9204,129
27,Puducherry,175481,173491,1975,15
28,Punjab,784112,764759,19289,64
29,Rajasthan,1315122,1305261,9652,209
30,Sikkim,44311,43808,499,4
31,Tamil Nadu,3593862,3555332,38049,481
32,Telangana,841009,836752,4111,146
33,Tripura,108031,107087,940,4
34,Uttarakhand,449269,441481,7751,37
35,Uttar Pradesh,2127982,2104188,23631,163
36,West Bengal,2118415,2096715,21531,169
