ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2341054,2326311,14733,10
3,Arunachal Pradesh,67049,66753,296,0
4,Assam,746217,738181,8036,0
5,Bihar,855382,843061,12315,6
6,Chandigarh,100712,99524,1185,3
7,Chhattisgarh,1188286,1173997,14195,94
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2041510,2014786,26673,51
10,Goa,263591,259572,4014,5
11,Gujarat,1291985,1280861,11086,38
12,Haryana,1079072,1068289,10780,3
13,Himachal Pradesh,322988,318732,4246,10
14,Jammu and Kashmir,482131,477310,4793,28
15,Jharkhand,443859,438522,5337,0
16,Karnataka,4095697,4055186,40398,113
17,Kerala,6917547,6845430,72102,15
18,Ladakh,29622,29390,231,1
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056667,1045873,10786,8
21,Maharashtra,8175595,8026787,148589,219
22,Manipur,140036,137887,2149,0
23,Meghalaya,96991,95363,1628,0
24,Mizoram,239565,238830,734,1
25,Nagaland,36033,35251,782,0
26,Odisha,1348554,1339312,9215,27
27,Puducherry,177680,175697,1982,1
28,Punjab,793730,773152,20572,6
29,Rajasthan,1326706,1316916,9737,53
30,Sikkim,44941,44438,501,2
31,Tamil Nadu,3611562,3573458,38086,18
32,Telangana,844764,840637,4111,16
33,Tripura,108559,107609,943,7
34,Uttarakhand,452604,444834,7768,2
35,Uttar Pradesh,2145624,2121881,23721,22
36,West Bengal,2127382,2105737,21558,87
