ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10749,10618,129,2
2,Andhra Pradesh,2339084,2324349,14733,2
3,Arunachal Pradesh,66891,66595,296,0
4,Assam,746100,738065,8035,0
5,Bihar,851415,839108,12303,4
6,Chandigarh,99360,98179,1181,0
7,Chhattisgarh,1177777,1163629,14146,2
8,Dadra and Nagar Haveli and Daman and Diu,11591,11587,4,0
9,Delhi,2007381,1980849,26522,10
10,Goa,259122,255103,4013,6
11,Gujarat,1277654,1266601,11046,7
12,Haryana,1056679,1045932,10714,33
13,Himachal Pradesh,312704,308491,4213,0
14,Jammu and Kashmir,479457,474659,4785,13
15,Jharkhand,442574,437243,5331,0
16,Karnataka,4072942,4032500,40309,133
17,Kerala,6829753,6756975,71574,1204
18,Ladakh,29419,29188,231,0
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1054938,1044161,10777,0
21,Maharashtra,8137158,7988666,148421,71
22,Manipur,139924,137775,2149,0
23,Meghalaya,96787,95162,1625,0
24,Mizoram,238964,238238,726,0
25,Nagaland,35986,35204,782,0
26,Odisha,1336642,1327352,9205,85
27,Puducherry,175709,173704,1975,30
28,Punjab,784365,765061,19289,15
29,Rajasthan,1315586,1305916,9654,16
30,Sikkim,44322,43822,499,1
31,Tamil Nadu,3594663,3556580,38049,34
32,Telangana,841507,837373,4111,23
33,Tripura,108034,107094,940,0
34,Uttarakhand,449445,441681,7753,11
35,Uttar Pradesh,2128170,2104520,23637,13
36,West Bengal,2118756,2097176,21532,48
