ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2340676,2325943,14733,0
3,Arunachal Pradesh,67049,66753,296,0
4,Assam,746159,738119,8035,5
5,Bihar,855267,842952,12314,1
6,Chandigarh,100693,99508,1185,0
7,Chhattisgarh,1187695,1173505,14190,0
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2040949,2014271,26666,12
10,Goa,263352,259338,4014,0
11,Gujarat,1291391,1280305,11079,7
12,Haryana,1078900,1068132,10755,13
13,Himachal Pradesh,322925,318676,4242,7
14,Jammu and Kashmir,482023,477231,4792,0
15,Jharkhand,443830,438493,5334,3
16,Karnataka,4088820,4048442,40358,20
17,Kerala,6907286,6835226,72042,18
18,Ladakh,29602,29371,231,0
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056351,1045565,10786,0
21,Maharashtra,8171480,8022747,148561,172
22,Manipur,140034,137885,2149,0
23,Meghalaya,96986,95357,1628,1
24,Mizoram,239561,238827,734,0
25,Nagaland,36033,35251,782,0
26,Odisha,1348368,1339147,9215,6
27,Puducherry,177547,175566,1981,0
28,Punjab,792419,773078,19338,3
29,Rajasthan,1326465,1316729,9736,0
30,Sikkim,44927,44426,501,0
31,Tamil Nadu,3610676,3572585,38081,10
32,Telangana,844442,840326,4111,5
33,Tripura,108494,107551,942,1
34,Uttarakhand,452572,444804,7768,0
35,Uttar Pradesh,2145445,2121678,23712,55
36,West Bengal,2126375,2104703,21555,117
