ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2340672,2325939,14733,0
3,Arunachal Pradesh,67046,66748,296,2
4,Assam,746150,738108,8035,7
5,Bihar,855260,842942,12314,4
6,Chandigarh,100690,99503,1185,2
7,Chhattisgarh,1187684,1173489,14190,5
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2040775,2014105,26665,5
10,Goa,263306,259285,4014,7
11,Gujarat,1291353,1280264,11079,10
12,Haryana,1078875,1068094,10754,27
13,Himachal Pradesh,322827,318576,4240,11
14,Jammu and Kashmir,482017,477219,4792,6
15,Jharkhand,443824,438490,5334,0
16,Karnataka,4088631,4048256,40357,18
17,Kerala,6906988,6834002,71943,1043
18,Ladakh,29587,29355,231,1
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056351,1045562,10786,3
21,Maharashtra,8169838,8021202,148554,82
22,Manipur,139973,137806,2149,18
23,Meghalaya,96954,95324,1628,2
24,Mizoram,239543,238805,733,5
25,Nagaland,36029,35247,782,0
26,Odisha,1348220,1338997,9215,8
27,Puducherry,177542,175559,1981,2
28,Punjab,792398,773056,19338,4
29,Rajasthan,1326457,1316719,9736,2
30,Sikkim,44863,44357,500,6
31,Tamil Nadu,3610600,3572512,38080,8
32,Telangana,844358,840240,4111,7
33,Tripura,108324,107377,941,6
34,Uttarakhand,452544,444770,7768,6
35,Uttar Pradesh,2145404,2121624,23706,74
36,West Bengal,2125425,2103764,21552,109
