ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2340676,2325943,14733,0
3,Arunachal Pradesh,67049,66753,296,0
4,Assam,746150,738115,8035,0
5,Bihar,855266,842951,12314,1
6,Chandigarh,100693,99508,1185,0
7,Chhattisgarh,1187694,1173504,14190,0
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2040883,2014212,26666,5
10,Goa,263341,259324,4014,3
11,Gujarat,1291377,1280294,11079,4
12,Haryana,1078894,1068114,10755,25
13,Himachal Pradesh,322899,318653,4241,5
14,Jammu and Kashmir,482023,477231,4792,0
15,Jharkhand,443825,438491,5334,0
16,Karnataka,4088753,4048386,40358,9
17,Kerala,6907216,6834256,71949,1011
18,Ladakh,29602,29370,231,1
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056351,1045565,10786,0
21,Maharashtra,8170737,8021989,148557,191
22,Manipur,140034,137885,2149,0
23,Meghalaya,96980,95345,1628,7
24,Mizoram,239559,238825,734,0
25,Nagaland,36033,35251,782,0
26,Odisha,1348349,1339128,9215,6
27,Puducherry,177546,175564,1981,1
28,Punjab,792414,773073,19338,3
29,Rajasthan,1326463,1316727,9736,0
30,Sikkim,44920,44417,500,3
31,Tamil Nadu,3610648,3572561,38081,6
32,Telangana,844422,840304,4111,7
33,Tripura,108491,107546,942,3
34,Uttarakhand,452562,444794,7768,0
35,Uttar Pradesh,2145418,2121655,23710,53
36,West Bengal,2126175,2104466,21555,154
