ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7626,7488,129,9
2,Andhra Pradesh,2053863,2030503,14219,9141
3,Arunachal Pradesh,54771,54080,277,414
4,Assam,603623,593308,5897,4418
5,Bihar,725973,716283,9661,29
6,Chandigarh,65247,64389,820,38
7,Chhattisgarh,1005425,991637,13568,220
8,Dadra and Nagar Haveli and Daman and Diu,10672,10666,4,2
9,Delhi,1439027,1413590,25088,349
10,Goa,176767,172698,3322,747
11,Gujarat,826039,815776,10083,180
12,Haryana,770938,760780,9875,283
13,Himachal Pradesh,219746,214658,3688,1400
14,Jammu and Kashmir,329991,324493,4424,1074
15,Jharkhand,348280,343061,5135,84
16,Karnataka,2978808,2929008,37845,11955
17,Kerala,4738791,4588084,25677,125030
18,Ladakh,20830,20571,207,52
19,Lakshadweep,10363,10310,51,2
20,Madhya Pradesh,792580,781936,10522,122
21,Maharashtra,6564915,6388899,139272,36744
22,Manipur,121303,117708,1871,1724
23,Meghalaya,81955,79173,1409,1373
24,Mizoram,101327,84987,335,16005
25,Nagaland,31342,30362,666,314
26,Odisha,1028819,1016165,8223,4431
27,Puducherry,126669,124183,1843,643
28,Punjab,601752,584966,16525,261
29,Rajasthan,954343,945337,8954,52
30,Sikkim,31561,30752,388,421
31,Tamil Nadu,2671411,2618980,35682,16749
32,Telangana,666971,658657,3924,4390
33,Tripura,84204,83235,815,154
34,Uttarakhand,343596,336052,7395,149
35,Uttar Pradesh,1709893,1686844,22896,153
36,West Bengal,1572460,1546037,18848,7575
