ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,4289,4039,58,192
2,Andhra Pradesh,814774,781509,6643,26622
3,Arunachal Pradesh,14580,12480,36,2064
4,Assam,205237,192517,917,11803
5,Bihar,213576,204178,1069,8329
6,Chandigarh,14212,13359,224,629
7,Chhattisgarh,181583,157480,1936,22167
8,Dadra and Nagar Haveli and Daman and Diu,3237,3184,2,51
9,Delhi,370014,334240,6396,29378
10,Goa,42968,39974,592,2402
11,Gujarat,169891,152858,3701,13332
12,Haryana,162223,149451,1758,11014
13,Himachal Pradesh,21149,18203,300,2646
14,Jammu and Kashmir,93213,84782,1455,6976
15,Jharkhand,100569,94326,880,5363
16,Karnataka,812784,733558,11046,68180
17,Kerala,411464,316692,1403,93369
18,Ladakh,6085,5369,74,642
19,Lakshadweep,0,0,0,0
20,Madhya Pradesh,169271,156264,2913,10094
21,Maharashtra,1660766,1486926,43554,130286
22,Manipur,17809,13420,156,4233
23,Meghalaya,9226,7777,85,1364
24,Mizoram,2656,2238,1,417
25,Nagaland,8824,6945,34,1845
26,Odisha,285482,270130,1284,14068
27,Puducherry,34583,30307,590,3686
28,Punjab,132263,123866,4158,4239
29,Rajasthan,191629,174044,1877,15708
30,Sikkim,3875,3545,67,263
31,Tamil Nadu,716751,679377,11018,26356
32,Telangana,235656,216353,1324,17979
33,Tripura,30566,28525,345,1696
34,Uttarakhand,61261,56556,1009,3696
35,Uttar Pradesh,476034,443589,6958,25487
36,West Bengal,361703,317928,6664,37111
