ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2340642,2325864,14733,45
3,Arunachal Pradesh,66971,66632,296,43
4,Assam,746122,738080,8035,7
5,Bihar,854784,842148,12313,323
6,Chandigarh,100640,99396,1185,59
7,Chhattisgarh,1187097,1172314,14184,599
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2040304,2013114,26649,541
10,Goa,262772,258507,4014,251
11,Gujarat,1291091,1279695,11076,320
12,Haryana,1078525,1067224,10745,556
13,Himachal Pradesh,322247,317638,4238,371
14,Jammu and Kashmir,481839,476913,4791,135
15,Jharkhand,443783,438384,5333,66
16,Karnataka,4087459,4046594,40353,512
17,Kerala,6902199,6824777,71885,5537
18,Ladakh,29575,29342,231,2
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056318,1045503,10786,29
21,Maharashtra,8167947,8017983,148541,1423
22,Manipur,139970,137806,2149,15
23,Meghalaya,96896,95259,1626,11
24,Mizoram,239210,238369,729,112
25,Nagaland,36012,35223,782,7
26,Odisha,1347235,1334751,9215,3269
27,Puducherry,177419,175388,1981,50
28,Punjab,791966,772112,19328,526
29,Rajasthan,1325997,1315552,9724,721
30,Sikkim,44730,44182,500,48
31,Tamil Nadu,3610097,3571289,38075,733
32,Telangana,843968,839656,4111,201
33,Tripura,108150,107167,940,43
34,Uttarakhand,452362,444534,7765,63
35,Uttar Pradesh,2144549,2120060,23694,795
36,West Bengal,2123950,2100206,21544,2200
