ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2340904,2326065,14733,106
3,Arunachal Pradesh,67049,66753,296,0
4,Assam,746175,738136,8035,4
5,Bihar,855302,842970,12315,17
6,Chandigarh,100703,99517,1185,1
7,Chhattisgarh,1187901,1173579,14191,131
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2041258,2014548,26670,40
10,Goa,263546,259482,4014,50
11,Gujarat,1291670,1280522,11082,66
12,Haryana,1079020,1068223,10780,17
13,Himachal Pradesh,322954,318702,4246,6
14,Jammu and Kashmir,482053,477253,4793,7
15,Jharkhand,443853,438516,5337,0
16,Karnataka,4092134,4050619,40379,1136
17,Kerala,6916736,6843621,72083,1032
18,Ladakh,29615,29383,231,1
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056609,1045802,10786,21
21,Maharashtra,8173620,8024138,148571,911
22,Manipur,140036,137887,2149,0
23,Meghalaya,96990,95362,1628,0
24,Mizoram,239562,238828,734,0
25,Nagaland,36033,35251,782,0
26,Odisha,1348439,1339193,9215,31
27,Puducherry,177635,175648,1982,5
28,Punjab,793694,773121,20571,2
29,Rajasthan,1326578,1316789,9737,52
30,Sikkim,44932,44431,501,0
31,Tamil Nadu,3611361,3573082,38086,193
32,Telangana,844636,840488,4111,37
33,Tripura,108497,107553,942,2
34,Uttarakhand,452590,444821,7768,1
35,Uttar Pradesh,2145561,2121823,23718,20
36,West Bengal,2126715,2104999,21556,160
