ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,5013,4943,62,8
2,Andhra Pradesh,888959,881181,7163,615
3,Arunachal Pradesh,16833,16774,56,3
4,Assam,217309,214615,1089,1605
5,Bihar,261841,259748,1528,565
6,Chandigarh,21293,20813,347,133
7,Chhattisgarh,309623,302935,3783,2905
8,Dadra and Nagar Haveli and Daman and Diu,3400,3396,2,2
9,Delhi,637181,625268,10894,1019
10,Goa,54323,53035,784,504
11,Gujarat,265756,259655,4402,1699
12,Haryana,269240,265381,3040,819
13,Himachal Pradesh,58262,56898,994,370
14,Jammu and Kashmir,125463,122883,1951,629
15,Jharkhand,119394,117850,1084,460
16,Karnataka,946076,927924,12273,5879
17,Kerala,1011956,946910,4016,61030
18,Ladakh,9779,9601,130,48
19,Lakshadweep,251,158,0,93
20,Madhya Pradesh,258082,252385,3841,1856
21,Maharashtra,2071306,1981408,51591,38307
22,Manipur,29213,28757,373,83
23,Meghalaya,13944,13696,148,100
24,Mizoram,4396,4368,10,18
25,Nagaland,12190,12059,90,41
26,Odisha,336322,333700,1912,710
27,Puducherry,39488,38617,658,213
28,Punjab,176767,168654,5712,2401
29,Rajasthan,319065,315027,2781,1257
30,Sikkim,6121,5930,135,56
31,Tamil Nadu,846026,829388,12432,4206
32,Telangana,296950,293690,1620,1640
33,Tripura,33355,32960,391,4
34,Uttarakhand,96920,94674,1682,564
35,Uttar Pradesh,602344,590787,8704,2853
36,West Bengal,572879,558790,10235,3854
