ID,state,total_cases,discharged,deaths,active_cases
1,Andhra Pradesh,323,322,0,1
2,Arunachal Pradesh,3,3,0,0
3,Assam,204,196,0,8
4,Bihar,145,143,0,2
5,Chandigarh,18,18,0,0
6,Chhattisgarh,246,234,5,7
7,Delhi,4085,4051,22,12
8,Goa,29,29,0,0
9,Gujarat,3676,3666,2,8
10,Haryana,664,653,4,7
11,Himachal Pradesh,6,6,0,0
12,Jammu and Kashmir,139,112,1,26
13,Jharkhand,82,81,1,0
14,Karnataka,2968,2953,11,4
15,Kerala,8749,8680,54,15
16,Ladakh,5,5,0,0
17,Madhya Pradesh,350,340,10,0
18,Maharashtra,2733,2659,43,31
19,Manipur,353,343,0,10
20,Meghalaya,1,1,0,0
21,Mizoram,19,13,0,6
22,Nagaland,3,3,0,0
23,Odisha,173,171,0,2
24,Puducherry,126,126,0,0
25,Punjab,260,243,4,13
26,Rajasthan,826,811,3,12
27,Sikkim,285,281,1,3
28,Tamil Nadu,1196,1173,7,16
29,Telangana,33,33,0,0
30,Tripura,31,31,0,0
31,Uttarakhand,115,113,0,2
32,Uttar Pradesh,1117,1108,2,7
33,West Bengal,1167,1125,1,41
