ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,4305,4054,59,192
2,Andhra Pradesh,817679,784752,6659,26268
3,Arunachal Pradesh,14668,12623,37,2008
4,Assam,205635,193574,923,11138
5,Bihar,214242,205108,1076,8058
6,Chandigarh,14292,13402,225,665
7,Chhattisgarh,183588,159268,1989,22331
8,Dadra and Nagar Haveli and Daman and Diu,3243,3192,2,49
9,Delhi,375753,338378,6423,30952
10,Goa,43201,40168,597,2436
11,Gujarat,170878,153941,3705,13232
12,Haryana,163817,150660,1766,11391
13,Himachal Pradesh,21476,18402,306,2768
14,Jammu and Kashmir,93764,85370,1466,6928
15,Jharkhand,100964,94787,883,5294
16,Karnataka,816809,741219,11091,64499
17,Kerala,418484,325166,1429,91889
18,Ladakh,6139,5438,74,627
19,Lakshadweep,0,0,0,0
20,Madhya Pradesh,169999,157381,2929,9689
21,Maharashtra,1666668,1494809,43710,128149
22,Manipur,18051,13583,160,4308
23,Meghalaya,9303,7890,87,1326
24,Mizoram,2694,2258,1,435
25,Nagaland,8894,7096,35,1763
26,Odisha,287099,272038,1297,13764
27,Puducherry,34761,30449,592,3720
28,Punjab,132727,124293,4168,4266
29,Rajasthan,193419,175977,1888,15554
30,Sikkim,3893,3558,67,268
31,Tamil Nadu,719403,683464,11053,24886
32,Telangana,237187,217401,1330,18456
33,Tripura,30663,28737,346,1580
34,Uttarakhand,61566,57012,1009,3545
35,Uttar Pradesh,477895,446054,6983,24858
36,West Bengal,365692,321873,6725,37094
