ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10741,10612,129,0
2,Andhra Pradesh,2339061,2324322,14733,6
3,Arunachal Pradesh,66889,66593,296,0
4,Assam,746100,738064,8035,1
5,Bihar,851358,839050,12302,6
6,Chandigarh,99340,98157,1181,2
7,Chhattisgarh,1177737,1163588,14146,3
8,Dadra and Nagar Haveli and Daman and Diu,11591,11587,4,0
9,Delhi,2007036,1980498,26519,19
10,Goa,259050,255019,4013,18
11,Gujarat,1277493,1266266,11043,184
12,Haryana,1056551,1045797,10714,40
13,Himachal Pradesh,312596,308365,4213,18
14,Jammu and Kashmir,479385,474584,4785,16
15,Jharkhand,442567,437236,5331,0
16,Karnataka,4071546,4029813,40306,1427
17,Kerala,6827188,6754249,71524,1415
18,Ladakh,29407,29175,231,1
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1054911,1044128,10776,7
21,Maharashtra,8136188,7987575,148408,205
22,Manipur,139920,137770,2149,1
23,Meghalaya,96779,95154,1624,1
24,Mizoram,238963,238234,726,3
25,Nagaland,35986,35204,782,0
26,Odisha,1336488,1327192,9205,91
27,Puducherry,175497,173516,1975,6
28,Punjab,784148,764837,19289,22
29,Rajasthan,1315319,1305599,9653,67
30,Sikkim,44317,43818,499,0
31,Tamil Nadu,3594262,3556146,38049,67
32,Telangana,841193,837019,4111,63
33,Tripura,108033,107093,940,0
34,Uttarakhand,449343,441529,7751,63
35,Uttar Pradesh,2128060,2104320,23633,107
36,West Bengal,2118523,2096945,21531,47
