ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2341096,2326363,14733,0
3,Arunachal Pradesh,67049,66753,296,0
4,Assam,746241,738201,8037,3
5,Bihar,855691,843376,12315,0
6,Chandigarh,100756,99570,1186,0
7,Chhattisgarh,1188585,1174380,14202,3
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2043161,2016454,26696,11
10,Goa,263670,259649,4014,7
11,Gujarat,1292574,1281461,11100,13
12,Haryana,1079175,1068389,10785,1
13,Himachal Pradesh,323107,318861,4246,0
14,Jammu and Kashmir,482189,477396,4793,0
15,Jharkhand,443861,438524,5337,0
16,Karnataka,4096990,4056559,40406,25
17,Kerala,6919819,6847392,72126,301
18,Ladakh,29683,29451,231,1
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056775,1045988,10786,1
21,Maharashtra,8177433,8028802,148602,29
22,Manipur,140039,137890,2149,0
23,Meghalaya,96994,95366,1628,0
24,Mizoram,239567,238833,734,0
25,Nagaland,36033,35251,782,0
26,Odisha,1348639,1339420,9215,4
27,Puducherry,177775,175791,1982,2
28,Punjab,793926,773323,20593,10
29,Rajasthan,1327802,1318026,9746,30
30,Sikkim,44951,44450,501,0
31,Tamil Nadu,3611935,3573835,38086,14
32,Telangana,844885,840771,4111,3
33,Tripura,108576,107631,943,2
34,Uttarakhand,452745,444967,7778,0
35,Uttar Pradesh,2146083,2122344,23729,10
36,West Bengal,2127734,2106134,21558,42
