ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,7446,7265,127,54
2,Andhra Pradesh,1875622,1816930,12566,46126
3,Arunachal Pradesh,34767,32054,167,2546
4,Assam,499121,465806,4403,28912
5,Bihar,721114,709286,9578,2250
6,Chandigarh,61604,60577,807,220
7,Chhattisgarh,993045,972898,13427,6720
8,Dadra and Nagar Haveli and Daman and Diu,10534,10485,4,45
9,Delhi,1433675,1407116,24961,1598
10,Goa,165883,160247,3032,2604
11,Gujarat,823132,809201,10048,3883
12,Haryana,768263,757091,9368,1804
13,Himachal Pradesh,201547,196191,3471,1885
14,Jammu and Kashmir,314316,304390,4296,5630
15,Jharkhand,345259,339036,5110,1113
16,Karnataka,2831026,2691123,34654,105249
17,Kerala,2877989,2763616,12817,101556
18,Ladakh,19941,19458,202,281
19,Lakshadweep,9659,9313,48,298
20,Madhya Pradesh,789657,779834,8896,927
21,Maharashtra,6026847,5781551,120881,124415
22,Manipur,67317,60529,1108,5680
23,Meghalaya,47985,42500,817,4668
24,Mizoram,19324,14863,91,4370
25,Nagaland,24850,22876,487,1487
26,Odisha,897062,863824,3848,29390
27,Puducherry,116414,111898,1741,2775
28,Punjab,594586,574231,15979,4376
29,Rajasthan,951967,941218,8910,1839
30,Sikkim,19941,17470,301,2170
31,Tamil Nadu,2460747,2383624,32199,44924
32,Telangana,619865,601184,3627,15054
33,Tripura,64644,60228,668,3748
34,Uttarakhand,339537,329941,7086,2510
35,Uttar Pradesh,1705384,1679744,22443,3197
36,West Bengal,1493113,1453431,17583,22099
