ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,10766,10637,129,0
2,Andhra Pradesh,2340657,2325904,14733,20
3,Arunachal Pradesh,67002,66681,296,25
4,Assam,746138,738084,8035,19
5,Bihar,854945,842445,12313,187
6,Chandigarh,100661,99445,1185,31
7,Chhattisgarh,1187377,1172854,14185,338
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,0
9,Delhi,2040497,2013538,26652,307
10,Goa,262922,258718,4014,190
11,Gujarat,1291183,1279977,11078,128
12,Haryana,1078715,1067677,10751,287
13,Himachal Pradesh,322457,317984,4238,235
14,Jammu and Kashmir,481917,477027,4792,98
15,Jharkhand,443804,438437,5334,33
16,Karnataka,4087890,4047253,40353,284
17,Kerala,6904004,6828626,71902,3476
18,Ladakh,29576,29344,231,1
19,Lakshadweep,11415,11363,52,0
20,Madhya Pradesh,1056327,1045528,10786,13
21,Maharashtra,8168496,8019249,148545,702
22,Manipur,139973,137806,2149,18
23,Meghalaya,96910,95273,1626,11
24,Mizoram,239290,238472,731,87
25,Nagaland,36016,35228,782,6
26,Odisha,1347697,1337095,9215,1387
27,Puducherry,177453,175428,1981,44
28,Punjab,792162,772624,19336,202
29,Rajasthan,1326257,1316117,9730,410
30,Sikkim,44757,44230,500,27
31,Tamil Nadu,3610334,3571938,38076,320
32,Telangana,844063,839829,4111,123
33,Tripura,108193,107201,940,52
34,Uttarakhand,452452,444614,7766,72
35,Uttar Pradesh,2144861,2120719,23696,446
36,West Bengal,2124393,2101032,21547,1814
