ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,94939,11941,106880
2,Andhra Pradesh,5198955,1543745,6742700
3,Arunachal Pradesh,196075,60445,256520
4,Assam,2147838,598670,2746508
5,Bihar,6061183,1266935,7328118
6,Chandigarh,171295,53483,224778
7,Chhattisgarh,4904625,800988,5705613
8,Dadra and Nagar Haveli and Daman and Diu,80478,17752,98230
9,Delhi,2740053,764655,3504708
10,Goa,292306,75941,368247
11,Gujarat,10308883,2761603,13070486
12,Haryana,3333546,591014,3924560
13,Himachal Pradesh,1616831,296503,1913334
14,Jammu and Kashmir,2086235,411593,2497828
15,Jharkhand,2667531,515071,3182602
16,Karnataka,8274897,1673434,9948331
17,Kerala,6105329,1466846,7572175
18,Ladakh,77203,35581,112784
19,Lakshadweep,19615,4688,24303
20,Madhya Pradesh,7064866,1177868,8242734
21,Maharashtra,13792116,2728757,16520873
22,Manipur,228147,63753,291900
23,Meghalaya,251301,63092,314393
24,Mizoram,221756,45673,267429
25,Nagaland,165818,43798,209616
26,Odisha,4967746,976874,5944620
27,Puducherry,172234,32118,204352
28,Punjab,3083481,467985,3551466
29,Rajasthan,11086073,2388375,13474448
30,Sikkim,162323,47609,209932
31,Tamil Nadu,4730022,1458823,6188845
32,Telangana,4225048,653647,4878695
33,Tripura,915984,385274,1301258
34,Uttarakhand,1686003,453620,2139623
35,Uttar Pradesh,10507449,2517434,13024883
36,West Bengal,8725790,2659546,11385336
37,Miscellaneous,1680481,1334599,3015080
