ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,49657,5941,55598
2,Andhra Pradesh,3977725,585348,4563073
3,Arunachal Pradesh,124509,33702,158211
4,Assam,1276967,276936,1553903
5,Bihar,4610622,617258,5227880
6,Chandigarh,108803,21577,130380
7,Chhattisgarh,4186976,447798,4634774
8,Dadra and Nagar Haveli and Daman and Diu,67859,10001,77860
9,Delhi,1971296,405718,2377014
10,Goa,167525,35698,203223
11,Gujarat,8623246,1244295,9867541
12,Haryana,2544910,260930,2805840
13,Himachal Pradesh,1039728,118201,1157929
14,Jammu and Kashmir,1245958,206806,1452764
15,Jharkhand,2280764,315881,2596645
16,Karnataka,5935232,615192,6550424
17,Kerala,4730171,557313,5287484
18,Ladakh,66813,9092,75905
19,Lakshadweep,12503,2805,15308
20,Madhya Pradesh,6205422,684723,6890145
21,Maharashtra,10039359,1086075,11125434
22,Manipur,96396,46535,142931
23,Meghalaya,116428,41065,157493
24,Mizoram,94675,28385,123060
25,Nagaland,98959,29173,128132
26,Odisha,3993009,534902,4527911
27,Puducherry,127079,11074,138153
28,Punjab,1907757,172921,2080678
29,Rajasthan,8997044,1227535,10224579
30,Sikkim,124532,17245,141777
31,Tamil Nadu,3641255,469197,4110452
32,Telangana,2129830,323126,2452956
33,Tripura,747029,98200,845229
34,Uttarakhand,1228455,203622,1432077
35,Uttar Pradesh,8606878,1421961,10028839
36,West Bengal,7398835,1044502,8443337
37,Miscellaneous,1604993,1103306,2708299
