ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,61411,6323,67734
2,Andhra Pradesh,4007551,596253,4603804
3,Arunachal Pradesh,130828,35887,166715
4,Assam,1283012,281478,1564490
5,Bihar,4776572,651465,5428037
6,Chandigarh,114800,24346,139146
7,Chhattisgarh,4280491,469569,4750060
8,Dadra and Nagar Haveli and Daman and Diu,70628,10848,81476
9,Delhi,2065707,438387,2504094
10,Goa,182592,42392,224984
11,Gujarat,8814503,1351100,10165603
12,Haryana,2658282,299528,2957810
13,Himachal Pradesh,1112734,128855,1241589
14,Jammu and Kashmir,1322237,222437,1544674
15,Jharkhand,2351741,330299,2682040
16,Karnataka,6226678,683721,6910399
17,Kerala,5042561,639411,5681972
18,Ladakh,67005,9963,76968
19,Lakshadweep,13655,2931,16586
20,Madhya Pradesh,6392966,722771,7115737
21,Maharashtra,10659857,1227002,11886859
22,Manipur,99928,48707,148635
23,Meghalaya,124096,43457,167553
24,Mizoram,117031,31042,148073
25,Nagaland,107194,30445,137639
26,Odisha,4207944,587076,4795020
27,Puducherry,144659,12835,157494
28,Punjab,2067068,194556,2261624
29,Rajasthan,9207156,1316216,10523372
30,Sikkim,135545,19751,155296
31,Tamil Nadu,3969605,562878,4532483
32,Telangana,2447944,354480,2802424
33,Tripura,756499,106159,862658
34,Uttarakhand,1291499,227568,1519067
35,Uttar Pradesh,8978586,1560116,10538702
36,West Bengal,7499557,1109748,8609305
37,Miscellaneous,1618362,1149157,2767519
