ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,29877,5570,35447
2,Andhra Pradesh,3284504,522204,3806708
3,Arunachal Pradesh,101758,29546,131304
4,Assam,1236253,250041,1486294
5,Bihar,3956794,537610,4494404
6,Chandigarh,96744,18264,115008
7,Chhattisgarh,3722048,406400,4128448
8,Dadra and Nagar Haveli and Daman and Diu,59130,8778,67908
9,Delhi,1705369,357342,2062711
10,Goa,140447,30685,171132
11,Gujarat,7983507,1073335,9056842
12,Haryana,2089324,194630,2283954
13,Himachal Pradesh,837397,105435,942832
14,Jammu and Kashmir,1095827,190736,1286563
15,Jharkhand,1971885,289726,2261611
16,Karnataka,5502677,564422,6067099
17,Kerala,4270953,492900,4763853
18,Ladakh,64518,7913,72431
19,Lakshadweep,10148,2555,12703
20,Madhya Pradesh,4866689,598432,5465121
21,Maharashtra,8970148,953386,9923534
22,Manipur,88817,43387,132204
23,Meghalaya,103084,38242,141326
24,Mizoram,73635,21594,95229
25,Nagaland,75334,26146,101480
26,Odisha,3607557,483794,4091351
27,Puducherry,87159,9578,96737
28,Punjab,1618664,151307,1769971
29,Rajasthan,8450218,1115090,9565308
30,Sikkim,99963,15238,115201
31,Tamil Nadu,3275326,391223,3666549
32,Telangana,1764351,296514,2060865
33,Tripura,721022,91266,812288
34,Uttarakhand,1104878,178795,1283673
35,Uttar Pradesh,7255844,1238115,8493959
36,West Bengal,6973057,918593,7891650
37,Miscellaneous,1591055,1050394,2641449
