ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,98828,14618,113446
2,Andhra Pradesh,5332845,2080601,7413446
3,Arunachal Pradesh,214480,77223,291703
4,Assam,2535166,723125,3258291
5,Bihar,6764692,1647942,8412634
6,Chandigarh,198100,70928,269028
7,Chhattisgarh,4966175,1015880,5982055
8,Dadra and Nagar Haveli and Daman and Diu,85179,23652,108831
9,Delhi,3360072,1007326,4367398
10,Goa,325994,90824,416818
11,Gujarat,10945378,3815327,14760705
12,Haryana,3827652,872509,4700161
13,Himachal Pradesh,1722220,417413,2139633
14,Jammu and Kashmir,2255270,520482,2775752
15,Jharkhand,2750542,643953,3394495
16,Karnataka,8644671,2349633,10994304
17,Kerala,6236840,1944711,8181551
18,Ladakh,85330,37110,122440
19,Lakshadweep,20554,6485,27039
20,Madhya Pradesh,7333275,1629753,8963028
21,Maharashtra,15287399,4025544,19312943
22,Manipur,294064,69492,363556
23,Meghalaya,311546,73293,384839
24,Mizoram,236835,50700,287535
25,Nagaland,179882,51321,231203
26,Odisha,5126334,1370906,6497240
27,Puducherry,178414,47682,226096
28,Punjab,3414625,693559,4108184
29,Rajasthan,11858172,2940742,14798914
30,Sikkim,164686,59026,223712
31,Tamil Nadu,4978091,1844743,6822834
32,Telangana,4383334,1036096,5419430
33,Tripura,939723,502556,1442279
34,Uttarakhand,1868151,670832,2538983
35,Uttar Pradesh,11280730,3112966,14393696
36,West Bengal,8814904,3642664,12457568
37,Miscellaneous,1699273,1397541,3096814
