ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,36572,5713,42285
2,Andhra Pradesh,3380467,533252,3913719
3,Arunachal Pradesh,112658,31586,144244
4,Assam,1263456,267581,1531037
5,Bihar,4374749,579982,4954731
6,Chandigarh,103131,19810,122941
7,Chhattisgarh,4033975,428984,4462959
8,Dadra and Nagar Haveli and Daman and Diu,64704,9407,74111
9,Delhi,1855516,380411,2235927
10,Goa,154531,33557,188088
11,Gujarat,8343790,1155076,9498866
12,Haryana,2308382,218312,2526694
13,Himachal Pradesh,940183,111049,1051232
14,Jammu and Kashmir,1191248,199688,1390936
15,Jharkhand,2127740,302145,2429885
16,Karnataka,5814171,593154,6407325
17,Kerala,4571678,526506,5098184
18,Ladakh,66115,8493,74608
19,Lakshadweep,11146,2650,13796
20,Madhya Pradesh,5605688,641420,6247108
21,Maharashtra,9520725,1008651,10529376
22,Manipur,92517,45162,137679
23,Meghalaya,107587,39039,146626
24,Mizoram,81107,23971,105078
25,Nagaland,86340,27601,113941
26,Odisha,3843843,512252,4356095
27,Puducherry,104246,10305,114551
28,Punjab,1776996,161992,1938988
29,Rajasthan,8759896,1165685,9925581
30,Sikkim,110175,15949,126124
31,Tamil Nadu,3450649,431129,3881778
32,Telangana,1982661,309468,2292129
33,Tripura,737756,95179,832935
34,Uttarakhand,1171271,190795,1362066
35,Uttar Pradesh,8016090,1343474,9359564
36,West Bengal,7242839,983187,8226026
37,Miscellaneous,1598441,1077431,2675872
