ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,91394,10376,101770
2,Andhra Pradesh,4955417,1327070,6282487
3,Arunachal Pradesh,176893,50965,227858
4,Assam,1768084,476035,2244119
5,Bihar,5752806,1009704,6762510
6,Chandigarh,151928,44127,196055
7,Chhattisgarh,4807765,661947,5469712
8,Dadra and Nagar Haveli and Daman and Diu,78216,14973,93189
9,Delhi,2512517,635401,3147918
10,Goa,262813,68918,331731
11,Gujarat,9787790,2267073,12054863
12,Haryana,3148162,528007,3676169
13,Himachal Pradesh,1468118,221742,1689860
14,Jammu and Kashmir,1905011,351789,2256800
15,Jharkhand,2603204,449965,3053169
16,Karnataka,7864810,1412734,9277544
17,Kerala,5967887,1176235,7144122
18,Ladakh,74000,31915,105915
19,Lakshadweep,18183,3974,22157
20,Madhya Pradesh,7020092,1051656,8071748
21,Maharashtra,13184829,2393333,15578162
22,Manipur,155238,58999,214237
23,Meghalaya,202369,56629,258998
24,Mizoram,199993,43924,243917
25,Nagaland,150926,38839,189765
26,Odisha,4868475,874980,5743455
27,Puducherry,166078,24656,190734
28,Punjab,2837684,374137,3211821
29,Rajasthan,10670385,2142588,12812973
30,Sikkim,158440,38479,196919
31,Tamil Nadu,4544687,1196900,5741587
32,Telangana,3956425,586863,4543288
33,Tripura,866472,274202,1140674
34,Uttarakhand,1610775,379456,1990231
35,Uttar Pradesh,10019065,2150445,12169510
36,West Bengal,8540388,2091699,10632087
37,Miscellaneous,1664824,1287770,2952594
