ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,97284,13456,110740
2,Andhra Pradesh,5326721,1981496,7308217
3,Arunachal Pradesh,207216,70509,277725
4,Assam,2354056,660218,3014274
5,Bihar,6318173,1485064,7803237
6,Chandigarh,187057,64405,251462
7,Chhattisgarh,4934246,892905,5827151
8,Dadra and Nagar Haveli and Daman and Diu,82202,21057,103259
9,Delhi,3036965,862006,3898971
10,Goa,309994,83450,393444
11,Gujarat,10636530,3289086,13925616
12,Haryana,3589324,728713,4318037
13,Himachal Pradesh,1680758,362947,2043705
14,Jammu and Kashmir,2218533,485248,2703781
15,Jharkhand,2706426,578882,3285308
16,Karnataka,8477264,2049657,10526921
17,Kerala,6169750,1764719,7934469
18,Ladakh,82919,36490,119409
19,Lakshadweep,19970,5795,25765
20,Madhya Pradesh,7164043,1432900,8596943
21,Maharashtra,14622137,3348054,17970191
22,Manipur,263115,66896,330011
23,Meghalaya,274374,67911,342285
24,Mizoram,230871,46989,277860
25,Nagaland,172178,46358,218536
26,Odisha,5029216,1137479,6166695
27,Puducherry,175642,40293,215935
28,Punjab,3273379,600290,3873669
29,Rajasthan,11428249,2676008,14104257
30,Sikkim,163849,54501,218350
31,Tamil Nadu,4842616,1656733,6499349
32,Telangana,4374338,815051,5189389
33,Tripura,929101,466520,1395621
34,Uttarakhand,1752485,595178,2347663
35,Uttar Pradesh,10817123,2778728,13595851
36,West Bengal,8765395,3135928,11901323
37,Miscellaneous,1691368,1369816,3061184
