ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,71357,6879,78236
2,Andhra Pradesh,4013148,599876,4613024
3,Arunachal Pradesh,135397,37272,172669
4,Assam,1303062,294473,1597535
5,Bihar,4985475,702078,5687553
6,Chandigarh,119500,26100,145600
7,Chhattisgarh,4449075,508082,4957157
8,Dadra and Nagar Haveli and Daman and Diu,72365,11314,83679
9,Delhi,2162311,458984,2621295
10,Goa,198368,46209,244577
11,Gujarat,8992115,1459131,10451246
12,Haryana,2740753,325563,3066316
13,Himachal Pradesh,1153057,136443,1289500
14,Jammu and Kashmir,1386613,235537,1622150
15,Jharkhand,2427168,348265,2775433
16,Karnataka,6532579,764192,7296771
17,Kerala,5189796,680436,5870232
18,Ladakh,67185,10672,77857
19,Lakshadweep,15125,3099,18224
20,Madhya Pradesh,6566455,763446,7329901
21,Maharashtra,10959587,1314386,12273973
22,Manipur,102997,50127,153124
23,Meghalaya,125611,43967,169578
24,Mizoram,122419,31764,154183
25,Nagaland,109570,30536,140106
26,Odisha,4311575,618792,4930367
27,Puducherry,151684,13963,165647
28,Punjab,2205090,213042,2418132
29,Rajasthan,9459005,1425801,10884806
30,Sikkim,140119,20939,161058
31,Tamil Nadu,4091849,620052,4711901
32,Telangana,2591197,369108,2960305
33,Tripura,769529,116602,886131
34,Uttarakhand,1326582,241590,1568172
35,Uttar Pradesh,9106356,1612019,10718375
36,West Bengal,7593079,1171094,8764173
37,Miscellaneous,1624617,1168963,2793580
